Date,Open,High,Low,Close,Adj Close,Volume,Name
18/06/2021,613.369.995,628.349.976,611.799.988,623.309.998,623.309.998,24560900,TLSA
21/06/2021,624.479.980,631.390.015,608.880.005,620.830.017,620.830.017,24812700,TLSA
22/06/2021,618.250.000,628.570.007,615.500.000,623.710.022,623.710.022,19158900,TLSA
23/06/2021,632.000.000,657.200.012,630.039.978,656.570.007,656.570.007,31099200,TLSA
24/06/2021,674.989.990,697.619.995,667.609.985,679.820.007,679.820.007,45982400,TLSA
25/06/2021,689.580.017,693.809.998,668.700.012,671.869.995,671.869.995,32496700,TLSA
28/06/2021,671.640.015,694.700.012,670.320.007,688.719.971,688.719.971,21628200,TLSA
29/06/2021,684.650.024,687.510.010,675.890.015,680.760.010,680.760.010,17381300,TLSA
30/06/2021,679.770.020,692.809.998,678.140.015,679.700.012,679.700.012,18924900,TLSA
1/07/2021,683.919.983,687.989.990,672.799.988,677.919.983,677.919.983,18634500,TLSA
2/07/2021,678.979.980,700.000.000,673.260.010,678.900.024,678.900.024,27054500,TLSA
6/07/2021,681.710.022,684.000.000,651.400.024,659.580.017,659.580.017,23284500,TLSA
7/07/2021,664.270.020,665.700.012,638.320.007,644.650.024,644.650.024,18792000,TLSA
8/07/2021,628.369.995,654.429.993,620.460.022,652.809.998,652.809.998,22773300,TLSA
9/07/2021,653.179.993,658.909.973,644.690.002,656.950.012,656.950.012,18140500,TLSA
12/07/2021,662.200.012,687.239.990,662.159.973,685.700.012,685.700.012,25927000,TLSA
13/07/2021,686.320.007,693.280.029,666.299.988,668.539.978,668.539.978,20966100,TLSA
14/07/2021,670.750.000,678.609.985,652.840.027,653.380.005,653.380.005,21641200,TLSA
15/07/2021,658.390.015,666.140.015,637.880.005,650.599.976,650.599.976,20209600,TLSA
16/07/2021,654.679.993,656.700.012,642.200.012,644.219.971,644.219.971,16371000,TLSA
19/07/2021,629.890.015,647.200.012,621.289.978,646.219.971,646.219.971,21297100,TLSA
20/07/2021,651.989.990,662.390.015,640.500.000,660.500.000,660.500.000,15487100,TLSA
21/07/2021,659.609.985,664.859.985,650.289.978,655.289.978,655.289.978,13953300,TLSA
22/07/2021,656.440.002,662.169.983,644.599.976,649.260.010,649.260.010,15105700,TLSA
23/07/2021,646.359.985,648.799.988,637.299.988,643.380.005,643.380.005,14604900,TLSA
26/07/2021,650.969.971,668.200.012,647.109.985,657.619.995,657.619.995,25336600,TLSA
27/07/2021,663.400.024,666.500.000,627.239.990,644.780.029,644.780.029,32813300,TLSA
28/07/2021,647.000.000,654.969.971,639.400.024,646.979.980,646.979.980,16006600,TLSA
